id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
224517,"Brass: Birmingham",2018,1,8.41335,8.59376,47124,0,,,,,,1,,
161936,"Pandemic Legacy: Season 1",2015,2,8.37698,8.52501,53898,0,,,,,,2,1,
174430,Gloomhaven,2017,3,8.3482,8.58381,62716,0,,,,,,4,2,
342942,"Ark Nova",2021,4,8.33633,8.53556,45124,0,,,,,,3,,
233078,"Twilight Imperium: Fourth Edition",2017,5,8.23761,8.59576,24242,0,,,,,,5,3,
316554,"Dune: Imperium",2020,6,8.2296,8.43407,46859,0,,,,,,6,,
167791,"Terraforming Mars",2016,7,8.20931,8.35629,100394,0,,,,,,7,,
115746,"War of the Ring: Second Edition",2011,8,8.18839,8.54305,21719,0,,,,,,,4,1
187645,"Star Wars: Rebellion",2016,9,8.16937,8.41763,32893,0,,,,,,,5,
291457,"Gloomhaven: Jaws of the Lion",2020,10,8.1587,8.42938,34978,0,,,,,,9,7,
162886,"Spirit Island",2017,11,8.14451,8.34421,52669,0,,,,,,10,,
220308,"Gaia Project",2017,12,8.10978,8.37273,27526,0,,,,,,8,,
12333,"Twilight Struggle",2005,13,8.06569,8.24512,49117,0,,,,,,14,,2
182028,"Through the Ages: A New Story of Civilization",2015,14,8.05453,8.28364,31975,0,,,,,,11,,
193738,"Great Western Trail",2016,15,8.02186,8.189,41171,0,,,,,,15,,
84876,"The Castles of Burgundy",2011,16,8.01603,8.14145,62933,0,,,,,,16,,
169786,Scythe,2016,17,7.98744,8.13861,84457,0,,,,,,21,,
246900,"Eclipse: Second Dawn for the Galaxy",2020,18,7.97954,8.45431,13980,0,,,,,,13,,
173346,"7 Wonders Duel",2015,19,7.97028,8.09486,95923,0,,,,,,22,,
28720,"Brass: Lancashire",2007,20,7.9633,8.19499,25146,0,,,,,,17,,
167355,Nemesis,2018,21,7.95274,8.26688,31175,0,,,,,,,12,
266507,"Clank! Legacy: Acquisitions Incorporated",2019,22,7.94591,8.53225,9581,0,,,,,,,8,
177736,"A Feast for Odin",2016,23,7.94345,8.17139,28958,0,,,,,,19,,
124361,Concordia,2013,24,7.94126,8.09235,40911,0,,,,,,20,,
341169,"Great Western Trail: Second Edition",2021,25,7.90655,8.33222,13190,0,,,,,,18,,
295770,Frosthaven,2022,26,7.90225,8.82828,7243,0,,,,,,12,6,
205637,"Arkham Horror: The Card Game",2016,27,7.90079,8.13011,43571,0,,1,,,,,13,
312484,"Lost Ruins of Arnak",2020,28,7.89562,8.07258,45244,0,,,,,,29,,
120677,"Terra Mystica",2012,29,7.89363,8.05969,48289,0,,,,,,26,,
266192,Wingspan,2019,30,7.89319,8.04241,94991,0,,,,2,,38,,
237182,Root,2018,31,7.88253,8.07172,52551,0,,,,,,32,,11
164928,Orléans,2014,32,7.87267,8.06045,31721,0,,,,,,28,,
192135,"Too Many Bones",2017,33,7.87001,8.34003,13768,0,,,,,,23,10,
96848,"Mage Knight Board Game",2011,34,7.85215,8.08445,33492,0,,,,,,33,15,
251247,Barrage,2019,35,7.84619,8.16094,18074,0,,,,,,24,,
199792,Everdell,2018,36,7.84436,8.02307,55940,0,,,,3,,42,,
324856,"The Crew: Mission Deep Sea",2021,37,7.84226,8.14062,18320,0,,,,1,,,,
183394,"Viticulture Essential Edition",2015,38,7.83678,7.98604,49331,0,,,,,,39,,
175914,"Food Chain Magnate",2015,39,7.79866,8.0566,20675,0,,,,,,34,,
285774,"Marvel Champions: The Card Game",2019,40,7.79722,8.12045,24047,0,,3,,,,,,
366013,"Heat: Pedal to the Metal",2022,41,7.79638,8.05706,24678,0,,,,4,,,,
256960,"Pax Pamir: Second Edition",2019,42,7.79316,8.18312,14422,0,,,,,,31,,
247763,"Underwater Cities",2018,43,7.784,8.05897,19940,0,,,,,,35,,
3076,"Puerto Rico",2002,44,7.77457,7.91448,71281,0,,,,,,47,,
521,Crokinole,1876,45,7.77007,8.0378,18323,0,,,,5,,,,
284378,"Kanban EV",2020,46,7.76878,8.42066,7883,0,,,,,,25,,
295947,Cascadia,2021,47,7.76729,7.94514,40278,0,1,,,6,,,,
102794,"Caverna: The Cave Farmers",2013,48,7.76164,7.94504,35049,0,,,,,,44,,
185343,Anachrony,2017,49,7.75624,8.07237,18915,0,,,,,,41,,
170216,"Blood Rage",2015,50,7.7531,7.92475,47594,0,,,,,,51,,
184267,"On Mars",2020,51,7.75193,8.18713,12865,0,,,,,,37,,
314040,"Pandemic Legacy: Season 0",2020,52,7.75185,8.39476,7839,0,,,,,,30,11,
31260,Agricola,2007,53,7.74594,7.87301,73136,0,,,,,,52,,
255984,"Sleeping Gods",2021,54,7.73743,8.19871,12461,0,,,,,,,16,
397598,"Dune: Imperium – Uprising",2023,55,7.73171,8.73087,5683,0,,,,,,27,,
161533,Lisboa,2017,56,7.72064,8.18866,11284,0,,,,,,40,,
